,,,Year over Year,,,,
,,,,Difference from July 2013,,Q4 over Q4,
,,,Projections,WEO Update,Estimates,Projections,
,2011,2012,2013 2014,2013 2014,2012,2013,2014
World Output1,3.9,3.2,2.9 3.6,–0.3 –0.2,2.7,3.1,3.6
Advanced Economies,1.7,1.5,1.2 2.0,0.0 0.0,0.9,1.8,2.1
United States2,1.8,2.8,1.6 2.6,–0.1 –0.2,2,1.9,3
Euro Area,1.5,–0.6,–0.4 1.0,0.1 0.0,–1.0,0.4,1.1
Germany,3.4,0.9,0.5 1.4,0.2 0.1,0.3,1.3,1.1
France,2,0,0.2 1.0,0.3 0.1,–0.3,0.5,1.1
Italy,0.4,–2.4,–1.8 0.7,0.0 0.0,–2.8,–0.9,1.4
Spain,0.1,–1.6,–1.3 0.2,0.3 0.1,–2.1,–0.2,0.2
Japan,–0.6,2,2.0 1.2,–0.1 0.1,0.3,3.5,0.2
United Kingdom,1.1,0.2,1.4 1.9,0.5 0.4,0,2.3,1.5
Canada,2.5,1.7,1.6 2.2,–0.1 –0.1,1,1.9,2.4
Other Advanced Economies3,3.2,1.9,2.3 3.1,0.0 –0.2,2.1,2.8,3
Emerging Market and Developing Economies4,6.2,4.9,4.5 5.1,–0.5 –0.4,4.9,4.7,5.4
Central and Eastern Europe,5.4,1.4,2.3 2.7,0.2 –0.1,0.8,2.8,3.4
Commonwealth of Independent States,4.8,3.4,2.1 3.4,–0.7 –0.3,1.4,2,3.5
Russia,4.3,3.4,1.5 3.0,–1.0 –0.3,2,1.6,3.8
Excluding Russia,6.1,3.3,3.6 4.2,0.1 –0.1,. . .,. . .,. . .
Developing Asia,7.8,6.4,6.3 6.5,–0.6 –0.5,6.8,6.2,6.6
China,9.3,7.7,7.6 7.3,–0.2 –0.4,7.9,7.6,7.2
India5,6.3,3.2,3.8 5.1,–1.8 –1.1,3,3.9,5.8
ASEAN-56,4.5,6.2,5.0 5.4,–0.6 –0.3,8.9,4.2,5.3
Latin America and the Caribbean,4.6,2.9,2.7 3.1,–0.3 –0.3,2.8,1.9,3.8
Brazil,2.7,0.9,2.5 2.5,0.0 –0.7,1.4,1.9,3.6
Mexico,4,3.6,1.2 3.0,–1.7 –0.2,3.2,1,3.5
"Middle East, North Africa, Afghanistan, and Pakistan",3.9,4.6,2.3 3.6,–0.7 –0.1,. . .,. . .,. . .
Sub-Saharan Africa,5.5,4.9,5.0 6.0,–0.2 0.1,. . .,. . .,. . .
South Africa,3.5,2.5,2.0 2.9,0.0 0.0,2.3,2.3,3
Memorandum,,,,,,,
European Union,1.7,–0.3,0.0 1.3,0.2 0.1,–0.7,0.8,1.4
Middle East and North Africa,3.9,4.6,2.1 3.8,–0.9 0.0,. . .,. . .,. . .
World Growth Based on Market Exchange Rates,2.9,2.6,2.3 3.0,–0.2 –0.2,1.9,2.6,3.1
World Trade Volume (goods and services),6.1,2.7,2.9 4.9,–0.2 –0.4,. . .,. . .,. . .
Imports,,,,,,,
Advanced Economies,4.7,1,1.5 4.0,0.1 –0.2,. . .,. . .,. . .
Emerging Market and Developing Economies,8.8,5.5,5.0 5.9,–0.9 –1.4,. . .,. . .,. . .
Exports,,,,,,,
Advanced Economies,5.7,2,2.7 4.7,0.3 0.0,. . .,. . .,. . .
Emerging Market and Developing Economies,6.8,4.2,3.5 5.8,–0.7 –0.5,. . .,. . .,. . .
Commodity Prices (U.S. dollars),,,,,,,
Oil7,31.6,1,–0.5 –3.0,4.2 1.7,–1.2,5,–7.7
Nonfuel (average based on world commodity export weights),17.9,–9.9,–1.5 –4.2,0.3 0.2,1.2,–3.8,–2.9
Consumer Prices,,,,,,,
Advanced Economies,2.7,2,1.4 1.8,–0.2 –0.1,1.8,1.3,2
Emerging Market and Developing Economies4,7.1,6.1,6.2 5.7,0.2 0.1,5.1,5.5,5.1
London Interbank Offered Rate (percent)8,,,,,,,
On U.S. Dollar Deposits,0.5,0.7,0.4 0.6,–0.1 0.0,. . .,. . .,. . .
On Euro Deposits,1.4,0.6,0.2 0.5,0.0 0.2,. . .,. . .,. . .
On Japanese Yen Deposits,0.3,0.3,0.2 0.3,0.0 0.0,. . .,. . .,. . .
